 1.00000000e-07 -3.94486173e-07  1.00000000e-07 -1.11642065e-07  1.00000000e-07  9.79052423e-11 
 1.05600194e-07 -4.17815393e-07  1.05600194e-07 -1.18244382e-07  1.05600194e-07  1.03701339e-10 
 1.16800583e-07 -4.66948125e-07  1.16800583e-07 -1.32149256e-07  1.16800583e-07  1.15932275e-10 
 1.39201360e-07 -5.80059255e-07  1.39201360e-07 -1.64160443e-07  1.39201360e-07  1.44374453e-10 
 1.84002914e-07 -8.65661826e-07  1.84002914e-07 -2.44988005e-07  1.84002914e-07  2.18658344e-10 
 2.73606023e-07 -1.67436606e-06  2.73606023e-07 -4.73858452e-07  2.73606023e-07  4.48650013e-10 
 4.38648369e-07 -3.99260280e-06  4.38648369e-07 -1.12994883e-06  4.38648369e-07  1.23373463e-09 
 6.61189753e-07 -8.81869206e-06  6.61189753e-07 -2.49582166e-06  6.61189753e-07  3.27011967e-09 
 1.01162582e-06 -2.03743471e-05  1.01162582e-06 -5.76639341e-06  1.01162582e-06  9.65981753e-09 
 1.51284641e-06 -4.53059164e-05  1.51284641e-06 -1.28230617e-05  1.51284641e-06  2.82706951e-08 
 2.28613866e-06 -1.03148215e-04  2.28613866e-06 -2.91960386e-05  2.28613866e-06  8.85397873e-08 
 3.42395880e-06 -2.30913718e-04  3.42395880e-06 -6.53656168e-05  3.42395880e-06  2.77959421e-07 
 5.15616482e-06 -5.22538262e-04  5.15616482e-06 -1.47936364e-04  5.15616482e-06  9.05033972e-07 
 7.73629703e-06 -1.17254538e-03  7.73629703e-06 -3.32025774e-04  7.73629703e-06  2.95475712e-06 
 1.00000000e-05 -1.95277200e-03  1.00000000e-05 -5.53052160e-04  1.00000000e-05  6.22806570e-06 
 1.03907951e-05 -2.10987167e-03  1.03907951e-05 -5.97563171e-04  1.03907951e-05  6.98721928e-06 
 1.11723852e-05 -2.43549268e-03  1.11723852e-05 -6.89825524e-04  1.11723852e-05  8.62071780e-06 
 1.27355655e-05 -3.15483710e-03  1.27355655e-05 -8.93674520e-04  1.27355655e-05  1.26263128e-05 
 1.58619261e-05 -4.85998232e-03  1.58619261e-05 -1.37701779e-03  1.58619261e-05  2.40582780e-05 
