 1.00000000e-07 -3.94486157e-07  1.00000000e-07 -1.11642061e-07  1.00000000e-07  3.14159616e-05 
 1.05600194e-07 -4.17815380e-07  1.05600194e-07 -1.18244378e-07  1.05600194e-07  3.31753167e-05 
 1.16800583e-07 -4.66948113e-07  1.16800583e-07 -1.32149253e-07  1.16800583e-07  3.66940270e-05 
 1.39201361e-07 -5.80059240e-07  1.39201361e-07 -1.64160439e-07  1.39201361e-07  4.37314493e-05 
 1.84002917e-07 -8.65661793e-07  1.84002917e-07 -2.44987996e-07  1.84002917e-07  5.78063019e-05 
 2.73606028e-07 -1.67436590e-06  2.73606028e-07 -4.73858409e-07  2.73606028e-07  8.59560507e-05 
 4.38648401e-07 -3.99260208e-06  4.38648401e-07 -1.12994863e-06  4.38648401e-07  1.37806057e-04 
 6.61189855e-07 -8.81868819e-06  6.61189855e-07 -2.49582056e-06  6.61189855e-07  2.07720784e-04 
 1.01162619e-06 -2.03743257e-05  1.01162619e-06 -5.76638736e-06  1.01162619e-06  3.17818153e-04 
 1.51284764e-06 -4.53058090e-05  1.51284764e-06 -1.28230313e-05  1.51284764e-06  4.75296152e-04 
 2.28614297e-06 -1.03147661e-04  2.28614297e-06 -2.91958819e-05  2.28614297e-06  7.18285086e-04 
 3.42397345e-06 -2.30910947e-04  3.42397345e-06 -6.53648327e-05  3.42397345e-06  1.07591408e-03 
 5.15621530e-06 -5.22524100e-04  5.15621530e-06 -1.47932356e-04  5.15621530e-06  1.62069429e-03 
 7.73646836e-06 -1.17247382e-03  7.73646836e-06 -3.32005521e-04  7.73646836e-06  2.43324991e-03 
 1.00000000e-05 -1.95242102e-03  1.00000000e-05 -5.52952785e-04  1.00000000e-05  3.14750586e-03 
 1.03908367e-05 -2.10946974e-03  1.03908367e-05 -5.97449374e-04  1.03908367e-05  3.27102441e-03 
 1.11725101e-05 -2.43497536e-03  1.11725101e-05 -6.89679059e-04  1.11725101e-05  3.51817476e-03 
 1.27358570e-05 -3.15399586e-03  1.27358570e-05 -8.93436350e-04  1.27358570e-05  4.01320231e-03 
 1.58625507e-05 -4.85792115e-03  1.58625507e-05 -1.37643418e-03  1.58625507e-05  5.00663035e-03 
 2.21159381e-05 -9.27601314e-03  2.21159381e-05 -2.62953083e-03  2.21159381e-05  7.01053973e-03 
 3.21159381e-05 -1.88304352e-02  3.21159381e-05 -5.34226191e-03  3.21159381e-05  1.02773530e-02 
 4.21159381e-05 -3.08661833e-02  4.21159381e-05 -8.76399082e-03  4.21159381e-05  1.36405262e-02 
 5.21159381e-05 -4.45374483e-02  5.21159381e-05 -1.26566469e-02  5.21159381e-05  1.71185934e-02 
 6.21159381e-05 -5.88918164e-02  6.21159381e-05 -1.67514253e-02  6.21159381e-05  2.07221270e-02 
 7.21159381e-05 -7.29318725e-02  7.21159381e-05 -2.07661736e-02  7.21159381e-05  2.44530447e-02 
 8.21159381e-05 -8.56793471e-02  8.21159381e-05 -2.44235366e-02  8.21159381e-05  2.83044757e-02 
 9.21159381e-05 -9.62376653e-02  9.21159381e-05 -2.74686899e-02  9.21159381e-05  3.22611895e-02 
 1.02115938e-04 -1.03848953e-01  1.02115938e-04 -2.96855416e-02  1.02115938e-04  3.63005587e-02 
 1.12115938e-04 -1.07941991e-01  1.12115938e-04 -3.09104053e-02  1.12115938e-04  4.03939903e-02 
 1.22115938e-04 -1.08168220e-01  1.22115938e-04 -3.10423194e-02  1.22115938e-04  4.45087341e-02 
 1.32115938e-04 -1.04423686e-01  1.32115938e-04 -3.00494018e-02  1.32115938e-04  4.86099532e-02 
 1.42115938e-04 -9.68556120e-02  1.42115938e-04 -2.79708688e-02  1.42115938e-04  5.26629262e-02 
 1.52115938e-04 -8.58532563e-02  1.52115938e-04 -2.49146002e-02  1.52115938e-04  5.66352418e-02 
 1.62115938e-04 -7.20235519e-02  1.62115938e-04 -2.10503908e-02  1.62115938e-04  6.04988509e-02 
 1.72115938e-04 -5.61529743e-02  1.72115938e-04 -1.65992840e-02  1.72115938e-04  6.42318432e-02 
 1.82115938e-04 -3.91578846e-02  1.82115938e-04 -1.18196155e-02  1.82115938e-04  6.78198389e-02 
 1.92115938e-04 -2.20263414e-02  1.92115938e-04 -6.99060983e-03  1.92115938e-04  7.12569019e-02 
 2.02115938e-04 -5.75496742e-03  2.02115938e-04 -2.39453850e-03  2.02115938e-04  7.45459161e-02 
 2.12115938e-04  8.71514525e-03  2.12115938e-04  1.70143332e-03  2.12115938e-04  7.76983960e-02 
 2.22115938e-04  2.05593452e-02  2.22115938e-04  5.06253848e-03  2.22115938e-04  8.07337405e-02 
 2.32115938e-04  2.91231110e-02  2.32115938e-04  7.50169196e-03  2.32115938e-04  8.36779747e-02 
 2.42115938e-04  3.39648864e-02  2.42115938e-04  8.89173350e-03  2.42115938e-04  8.65620600e-02 
 2.52115938e-04  3.48851062e-02  2.52115938e-04  9.17378492e-03  2.52115938e-04  8.94198801e-02 
 2.62115938e-04  3.19393806e-02  2.62115938e-04  8.36113748e-03  2.62115938e-04  9.22860349e-02 
 2.72115938e-04  2.54348984e-02  2.72115938e-04  6.53839316e-03  2.72115938e-04  9.51935863e-02 
 2.82115938e-04  1.59102850e-02  2.82115938e-04  3.85591615e-03  2.82115938e-04  9.81719055e-02 
 2.92115938e-04  4.10030986e-03  2.92115938e-04  5.19979512e-04  2.92115938e-04  1.01244762e-01 
 3.02115938e-04 -9.11211915e-03  3.02115938e-04 -3.22071236e-03  3.02115938e-04  1.04428777e-01 
 3.12115938e-04 -2.27533986e-02  3.12115938e-04 -7.09120498e-03  3.12115938e-04  1.07732349e-01 
 3.22115938e-04 -3.58222512e-02  3.22115938e-04 -1.08080918e-02  3.22115938e-04  1.11155103e-01 
 3.32115938e-04 -4.73541795e-02  3.32115938e-04 -1.40977574e-02  3.32115938e-04  1.14687916e-01 
 3.42115938e-04 -5.64832035e-02  3.42115938e-04 -1.67138917e-02  3.42115938e-04  1.18313497e-01 
 3.52115938e-04 -6.24970030e-02  3.52115938e-04 -1.84531746e-02  3.52115938e-04  1.22007493e-01 
 3.62115938e-04 -6.48820786e-02  3.62115938e-04 -1.91681671e-02  3.62115938e-04  1.25740040e-01 
 3.72115938e-04 -6.33562121e-02  3.72115938e-04 -1.87766330e-02  3.72115938e-04  1.29477668e-01 
 3.82115938e-04 -5.78863065e-02  3.82115938e-04 -1.72667380e-02  3.82115938e-04  1.33185429e-01 
 3.92115938e-04 -4.86905582e-02  3.92115938e-04 -1.46978224e-02  3.92115938e-04  1.36829120e-01 
